date,numbers
2020-01-01,2196916
2020-01-02,2461726
2020-01-03,2381987
2020-01-04,2244162
2020-01-05,2491894
2020-01-06,2280882
2020-01-07,1871059
2020-01-08,1880834
2020-01-09,2102860
2020-01-10,2142463
2020-01-11,1749697
2020-01-12,2253585
2020-01-13,2060378
2020-01-14,1756374
2020-01-15,1943701
2020-01-16,2312979
2020-01-17,2418305
2020-01-18,1844437
2020-01-19,2064997
2020-01-20,2367538
2020-01-21,1936023
2020-01-22,1867782
2020-01-23,2169321
2020-01-24,2215449
2020-01-25,1705850
2020-01-26,2203488
2020-01-27,2073819
2020-01-28,1707733
2020-01-29,1842526
2020-01-30,2154295
2020-01-31,2229563
2020-02-01,1719082
2020-02-02,2011645
2020-02-03,2123304
2020-02-04,1742605
2020-02-05,1843877
2020-02-06,2167857
2020-02-07,2271551
2020-02-08,1770241
2020-02-09,2224826
2020-02-10,2164951
2020-02-11,1814047
2020-02-12,2038375
2020-02-13,2415185
2020-02-14,2507588
2020-02-15,1972248
2020-02-16,2198657
2020-02-17,2494922
2020-02-18,2190300
2020-02-19,2129862
2020-02-20,2358511
2020-02-21,2429489
2020-02-22,1951535
2020-02-23,2380359
2020-02-24,2267382
2020-02-25,1919803
2020-02-26,2075554
2020-02-27,2364727
2020-02-28,2441643
2020-02-29,1949696
2020-03-01,2353150
2020-03-02,2163067
2020-03-03,1806256
2020-03-04,1953782
2020-03-05,2203821
2020-03-06,2274787
2020-03-07,1913768
2020-03-08,2189961
2020-03-09,1982627
2020-03-10,1686927
2020-03-11,1774150
2020-03-12,1860802
2020-03-13,1785451
2020-03-14,1549429
2020-03-15,1585264
2020-03-16,1325097
2020-03-17,1029164
2020-03-18,847827
2020-03-19,694364
2020-03-20,669314
2020-03-21,608846
2020-03-22,510881
2020-03-23,388154
2020-03-24,330808
2020-03-25,288459
2020-03-26,252039
2020-03-27,244702
2020-03-28,226850
2020-03-29,223165
2020-03-30,197539
2020-03-31,190163
2020-04-01,176239
2020-04-02,160826
2020-04-03,166046
2020-04-04,151716
2020-04-05,156759
2020-04-06,142138
2020-04-07,126847
2020-04-08,123522
2020-04-09,132378
2020-04-10,137131
2020-04-11,119155
2020-04-12,116399
2020-04-13,129582
2020-04-14,113147
2020-04-15,115294
2020-04-16,119067
2020-04-17,130512
2020-04-18,119121
2020-04-19,128831
2020-04-20,123081
2020-04-21,114969
2020-04-22,121886
2020-04-23,135267
2020-04-24,147394
2020-04-25,130319
2020-04-26,151489
2020-04-27,143129
2020-04-28,133570
2020-04-29,142801
2020-04-30,179226
2020-05-01,197509
2020-05-02,154946
2020-05-03,192411
2020-05-04,185877
2020-05-05,149037
2020-05-06,159615
2020-05-07,211459
2020-05-08,236617
2020-05-09,187868
2020-05-10,220928
2020-05-11,236767
2020-05-12,181660
2020-05-13,199090
2020-05-14,256056
2020-05-15,272250
2020-05-16,213026
2020-05-17,276409
2020-05-18,267220
2020-05-19,209801
2020-05-20,251460
2020-05-21,342995
2020-05-22,373069
2020-05-23,273131
2020-05-24,289435
2020-05-25,364592
2020-05-26,286142
2020-05-27,283387
2020-05-28,345958
2020-05-29,352970
2020-05-30,292702
2020-05-31,377409
2020-06-01,379146
2020-06-02,289197
2020-06-03,326891
2020-06-04,418820
2020-06-05,446140
2020-06-06,376823
2020-06-07,468465
2020-06-08,458552
2020-06-09,363854
2020-06-10,413090
2020-06-11,531092
2020-06-12,548394
2020-06-13,463244
2020-06-14,573722
2020-06-15,565170
2020-06-16,444922
2020-06-17,469224
2020-06-18,607355
2020-06-19,618968
2020-06-20,536012
2020-06-21,621523
2020-06-22,639816
2020-06-23,499884
2020-06-24,525061
2020-06-25,655228
2020-06-26,664665
2020-06-27,575227
2020-06-28,662853
2020-06-29,657778
2020-06-30,530448
2020-07-01,659820
2020-07-02,800456
2020-07-03,752884
2020-07-04,495309
2020-07-05,767395
2020-07-06,793785
2020-07-07,678147
2020-07-08,669730
2020-07-09,751153
2020-07-10,752434
2020-07-11,696262
2020-07-12,796350
2020-07-13,738985
2020-07-14,579774
2020-07-15,626707
2020-07-16,747054
2020-07-17,761376
2020-07-18,685084
2020-07-19,788109
2020-07-20,737239
2020-07-21,567459
2020-07-22,609254
2020-07-23,746766
2020-07-24,767540
2020-07-25,687244
2020-07-26,790716
2020-07-27,740892
2020-07-28,573466
2020-07-29,612033
2020-07-30,758065
2020-07-31,810309
2020-08-01,749886
2020-08-02,841585
2020-08-03,781705
2020-08-04,583261
2020-08-05,638378
2020-08-06,787584
2020-08-07,806204
2020-08-08,723834
2020-08-09,875129
2020-08-10,806300
2020-08-11,598854
2020-08-12,630650
2020-08-13,805456
2020-08-14,827588
2020-08-15,730296
2020-08-16,905182
2020-08-17,818133
2020-08-18,604934
2020-08-19,627140
2020-08-20,815710
2020-08-21,808086
2020-08-22,665145
2020-08-23,884572
2020-08-24,771014
2020-08-25,562515
2020-08-26,578447
2020-08-27,766347
2020-08-28,783647
2020-08-29,631636
2020-08-30,850262
2020-08-31,756726
2020-09-01,554679
2020-09-02,617448
2020-09-03,920650
2020-09-04,1011740
2020-09-05,700693
2020-09-06,730258
2020-09-07,975969
2020-09-08,742411
2020-09-09,654713
2020-09-10,795943
2020-09-11,772564
2020-09-12,650936
2020-09-13,850789
2020-09-14,770933
2020-09-15,557373
2020-09-16,614309
2020-09-17,827439
2020-09-18,853578
2020-09-19,676079
2020-09-20,888597
2020-09-21,812782
2020-09-22,586414
2020-09-23,645143
2020-09-24,868664
2020-09-25,887865
2020-09-26,695777
2020-09-27,912853
2020-09-28,839120
2020-09-29,605277
2020-09-30,673484
2020-10-01,898999
2020-10-02,899602
2020-10-03,713537
2020-10-04,940229
2020-10-05,857900
2020-10-06,624953
2020-10-07,705110
2020-10-08,979780
2020-10-09,1012171
2020-10-10,807471
2020-10-11,1025511
2020-10-12,1000148
2020-10-13,716582
2020-10-14,755121
2020-10-15,993602
2020-10-16,1015559
2020-10-17,827049
2020-10-18,1073202
2020-10-19,963188
2020-10-20,699330
2020-10-21,732146
2020-10-22,978486
2020-10-23,1002285
2020-10-24,795028
2020-10-25,1024734
2020-10-26,940208
2020-10-27,684389
2020-10-28,705190
2020-10-29,914353
2020-10-30,934827
2020-10-31,652126
2020-11-01,978012
2020-11-02,885858
2020-11-03,610286
2020-11-04,673086
2020-11-05,906892
2020-11-06,937619
2020-11-07,728410
2020-11-08,1018164
2020-11-09,880911
2020-11-10,634852
2020-11-11,713636
2020-11-12,912775
2020-11-13,926908
2020-11-14,737242
2020-11-15,1024079
2020-11-16,888924
2020-11-17,613745
2020-11-18,704044
2020-11-19,909515
2020-11-20,1027055
2020-11-21,987446
2020-11-22,1049921
2020-11-23,919387
2020-11-24,959178
2020-11-25,1074824
2020-11-26,562697
2020-11-27,821789
2020-11-28,966412
2020-11-29,1179933
2020-11-30,986538
2020-12-01,783563
2020-12-02,672765
2020-12-03,779941
2020-12-04,795221
2020-12-05,669579
2020-12-06,878711
2020-12-07,745818
2020-12-08,537445
2020-12-09,601319
2020-12-10,795786
2020-12-11,831174
2020-12-12,702110
2020-12-13,906851
2020-12-14,794950
2020-12-15,617134
2020-12-16,679523
2020-12-17,901503
2020-12-18,1121876
2020-12-19,1121855
2020-12-20,1111609
2020-12-21,1002953
2020-12-22,1043366
2020-12-23,1244556
2020-12-24,885065
2020-12-25,683838
2020-12-26,1181793
2020-12-27,1334030
2020-12-28,1161059
2020-12-29,1069787
2020-12-30,1215423
2020-12-31,914456
