date,numbers
2023-01-01,2046950
2023-01-02,2368194
2023-01-03,2212528
2023-01-04,1985965
2023-01-05,2031976
2023-01-06,2043547
2023-01-07,1917290
2023-01-08,2226917
2023-01-09,2009868
2023-01-10,1678250
2023-01-11,1723117
2023-01-12,2189475
2023-01-13,2316713
2023-01-14,1803651
2023-01-15,2038119
2023-01-16,2244873
2023-01-17,1803155
2023-01-18,1674129
2023-01-19,1997346
2023-01-20,2089417
2023-01-21,1662736
2023-01-22,2141703
2023-01-23,1970280
2023-01-24,1567069
2023-01-25,1677909
2023-01-26,2097825
2023-01-27,2122066
2023-01-28,1653401
2023-01-29,2144644
2023-01-30,1932983
2023-01-31,1534786
2023-02-01,1608110
2023-02-02,2042277
2023-02-03,2102998
2023-02-04,1669806
2023-02-05,2202873
2023-02-06,2040256
2023-02-07,1626257
2023-02-08,1796332
2023-02-09,2158573
2023-02-10,2254803
2023-02-11,1809116
2023-02-12,2113837
2023-02-13,2073820
2023-02-14,1674639
2023-02-15,2017144
2023-02-16,2339970
2023-02-17,2509923
2023-02-18,2065901
2023-02-19,2319072
2023-02-20,2479184
2023-02-21,2116450
2023-02-22,2006058
2023-02-23,2322309
2023-02-24,2425335
2023-02-25,2057210
2023-02-26,2402716
2023-02-27,2235417
2023-02-28,1890744
2023-03-01,2066150
2023-03-02,2316735
2023-03-03,2375579
2023-03-04,2040488
2023-03-05,2422425
2023-03-06,2265014
2023-03-07,1908536
2023-03-08,2130141
2023-03-09,2417279
2023-03-10,2562561
2023-03-11,2279320
2023-03-12,2539093
2023-03-13,2393346
2023-03-14,2026905
2023-03-15,2284299
2023-03-16,2483683
2023-03-17,2517226
2023-03-18,2278805
2023-03-19,2608462
2023-03-20,2414648
2023-03-21,2038001
2023-03-22,2203488
2023-03-23,2451051
2023-03-24,2508221
2023-03-25,2208541
2023-03-26,2522600
2023-03-27,2383816
2023-03-28,2039138
2023-03-29,2210676
2023-03-30,2487147
2023-03-31,2536088
2023-04-01,2253892
2023-04-02,2545494
2023-04-03,2404966
2023-04-04,2080546
2023-04-05,2209680
2023-04-06,2532778
2023-04-07,2475896
2023-04-08,2093075
2023-04-09,2387558
2023-04-10,2523060
2023-04-11,2132314
2023-04-12,2168441
2023-04-13,2443213
2023-04-14,2532863
2023-04-15,2150251
2023-04-16,2589787
2023-04-17,2455406
2023-04-18,2070303
2023-04-19,2227164
2023-04-20,2534751
2023-04-21,2585925
2023-04-22,2057354
2023-04-23,2570184
2023-04-24,2425693
2023-04-25,2015155
2023-04-26,2183316
2023-04-27,2522454
2023-04-28,2507149
2023-04-29,2021030
2023-04-30,2517228
2023-05-01,2432660
2023-05-02,1998688
2023-05-03,2167265
2023-05-04,2509080
2023-05-05,2508503
2023-05-06,2043895
2023-05-07,2590391
2023-05-08,2476280
2023-05-09,2089430
2023-05-10,2261499
2023-05-11,2598784
2023-05-12,2605959
2023-05-13,2114178
2023-05-14,2509333
2023-05-15,2597124
2023-05-16,2173966
2023-05-17,2312740
2023-05-18,2641296
2023-05-19,2656058
2023-05-20,2213613
2023-05-21,2673457
2023-05-22,2592466
2023-05-23,2272281
2023-05-24,2435811
2023-05-25,2672648
2023-05-26,2744596
2023-05-27,2206475
2023-05-28,2257797
2023-05-29,2596978
2023-05-30,2349003
2023-05-31,2259502
2023-06-01,2477726
2023-06-02,2534892
2023-06-03,2221890
2023-06-04,2657217
2023-06-05,2560508
2023-06-06,2233160
2023-06-07,2355913
2023-06-08,2641522
2023-06-09,2675115
2023-06-10,2322170
2023-06-11,2732330
2023-06-12,2636399
2023-06-13,2343000
2023-06-14,2465528
2023-06-15,2745743
2023-06-16,2785332
2023-06-17,2436004
2023-06-18,2640349
2023-06-19,2742546
2023-06-20,2449389
2023-06-21,2502239
2023-06-22,2737829
2023-06-23,2771672
2023-06-24,2456148
2023-06-25,2769270
2023-06-26,2687481
2023-06-27,2391503
2023-06-28,2539399
2023-06-29,2759141
2023-06-30,2884783
2023-07-01,2588334
2023-07-02,2529730
2023-07-03,2288645
2023-07-04,2007441
2023-07-05,2492923
2023-07-06,2540237
2023-07-07,2555001
2023-07-08,2431155
2023-07-09,2644639
2023-07-10,2688266
2023-07-11,2382030
2023-07-12,2458378
2023-07-13,2726021
2023-07-14,2738461
2023-07-15,2486503
2023-07-16,2741762
2023-07-17,2747357
2023-07-18,2410972
2023-07-19,2519328
2023-07-20,2754386
2023-07-21,2782146
2023-07-22,2485646
2023-07-23,2800368
2023-07-24,2695657
2023-07-25,2358536
2023-07-26,2510210
2023-07-27,2724438
2023-07-28,2787676
2023-07-29,2457943
2023-07-30,2815068
2023-07-31,2697794
2023-08-01,2370591
2023-08-02,2431864
2023-08-03,2671674
2023-08-04,2690858
2023-08-05,2403611
2023-08-06,2743779
2023-08-07,2602015
2023-08-08,2387917
2023-08-09,2407319
2023-08-10,2654716
2023-08-11,2648556
2023-08-12,2322724
2023-08-13,2684914
2023-08-14,2548291
2023-08-15,2266285
2023-08-16,2298936
2023-08-17,2599098
2023-08-18,2601291
2023-08-19,2252655
2023-08-20,2535369
2023-08-21,2487458
2023-08-22,2101467
2023-08-23,2169394
2023-08-24,2501995
2023-08-25,2509342
2023-08-26,2063356
2023-08-27,2538318
2023-08-28,2349783
2023-08-29,1888361
2023-08-30,2014332
2023-08-31,2619753
2023-09-01,2742962
2023-09-02,2090550
2023-09-03,2081144
2023-09-04,2645012
2023-09-05,2243518
2023-09-06,1966818
2023-09-07,2283466
2023-09-08,2405867
2023-09-09,1986960
2023-09-10,2584116
2023-09-11,2402206
2023-09-12,1991959
2023-09-13,2113134
2023-09-14,2594681
2023-09-15,2583450
2023-09-16,1978051
2023-09-17,2648872
2023-09-18,2495564
2023-09-19,1992774
2023-09-20,2207680
2023-09-21,2651017
2023-09-22,2684773
2023-09-23,2065137
2023-09-24,2673136
2023-09-25,2543611
2023-09-26,2058961
2023-09-27,2138667
2023-09-28,2616213
2023-09-29,2602713
2023-09-30,2140656
2023-10-01,2682443
2023-10-02,2473560
2023-10-03,2001087
2023-10-04,2213969
2023-10-05,2697601
2023-10-06,2762717
2023-10-07,2232660
2023-10-08,2690153
2023-10-09,2681432
2023-10-10,2293858
2023-10-11,2372544
2023-10-12,2717399
2023-10-13,2673246
2023-10-14,2226278
2023-10-15,2797326
2023-10-16,2627942
2023-10-17,2213819
2023-10-18,2333408
2023-10-19,2695224
2023-10-20,2672262
2023-10-21,2161735
2023-10-22,2770224
2023-10-23,2607835
2023-10-24,2138741
2023-10-25,2251047
2023-10-26,2630523
2023-10-27,2615422
2023-10-28,2015907
2023-10-29,2520086
2023-10-30,2292796
2023-10-31,1665839
2023-11-01,2157473
2023-11-02,2415581
2023-11-03,2502391
2023-11-04,2045614
2023-11-05,2669284
2023-11-06,2491545
2023-11-07,2019225
2023-11-08,2209479
2023-11-09,2658959
2023-11-10,2591818
2023-11-11,2025517
2023-11-12,2683745
2023-11-13,2533300
2023-11-14,2035761
2023-11-15,2224646
2023-11-16,2550045
2023-11-17,2692471
2023-11-18,2379699
2023-11-19,2608680
2023-11-20,2532525
2023-11-21,2647461
2023-11-22,2741610
2023-11-23,1547419
2023-11-24,2199057
2023-11-25,2605387
2023-11-26,2908785
2023-11-27,2633263
2023-11-28,2171943
2023-11-29,1948492
2023-11-30,2276703
2023-12-01,2308362
2023-12-02,1864999
2023-12-03,2321965
2023-12-04,2266792
2023-12-05,1834118
2023-12-06,1998620
2023-12-07,2385629
2023-12-08,2431077
2023-12-09,1975896
2023-12-10,2419762
2023-12-11,2313610
2023-12-12,1954074
2023-12-13,2129193
2023-12-14,2502604
2023-12-15,2622770
2023-12-16,2252933
2023-12-17,2495579
2023-12-18,2366275
2023-12-19,2291458
2023-12-20,2514171
2023-12-21,2650811
2023-12-22,2775193
2023-12-23,2606577
2023-12-24,1972309
2023-12-25,2028266
2023-12-26,2665034
2023-12-27,2663517
2023-12-28,2633264
2023-12-29,2636605
2023-12-30,2563962
2023-12-31,2116715
